name,birthday,nationality
Rachel Zegler,2001-05-01,USA
Gal Gadot,1985-04-30,ISR
Andrew Burnap,1991-03-05,Americano
Ansu Kabia,1980-03-15,GBR
Hadley Fraser,1980-04-21,GBR
Lorena Andrea,1994-04-12,Britânica
Adrian Bower,1970-08-20,GBR
